E_id,imgName,era,style,gender,R_id,r_gender,age,mar,job,income,r_style1,r_style2,r_style3,r_style4,r_style5,Q1,Q2,Q3,Q411,Q412,Q413,Q414,Q4201,Q4202,Q4203,Q4204,Q4205,Q4206,Q4207,Q4208,Q4209,Q4210,Q4211,Q4212,Q4213,Q4214,Q4215,Q4216,Q5
102354,T_00130_50_ivy_M.jpg,1950,ivy,M,61539,1,2,1,6,2,2,1,1,2,1,3,1,5,2,2,2,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2
193542,T_00130_50_ivy_M.jpg,1950,ivy,M,66315,1,1,1,6,6,2,1,1,1,2,1,1,5,2,2,2,1,0,0,0,0,5,0,0,8,0,0,0,0,0,0,0,0,1
228079,T_00130_50_ivy_M.jpg,1950,ivy,M,67700,1,2,2,2,3,2,1,2,2,2,2,1,5,2,1,1,2,0,0,0,0,0,0,0,8,0,10,0,12,0,0,0,0,1
113555,T_00130_50_ivy_M.jpg,1950,ivy,M,62779,1,2,1,6,1,2,1,2,1,2,3,1,5,2,2,2,2,0,2,0,0,5,0,0,0,0,0,11,0,13,0,0,0,2
222692,T_00130_50_ivy_M.jpg,1950,ivy,M,67521,1,1,1,2,2,2,1,2,2,1,3,1,2,2,2,2,2,1,0,0,0,5,0,0,8,0,10,0,0,0,0,15,0,2
234246,T_00130_50_ivy_M.jpg,1950,ivy,M,68038,1,4,2,3,2,2,1,2,1,2,3,1,5,2,1,2,2,0,0,0,0,5,0,0,8,0,10,0,12,0,0,0,0,2
216496,T_00191_50_ivy_M.jpg,1950,ivy,M,67231,1,3,1,4,5,2,1,2,2,2,2,1,5,1,2,2,2,0,0,0,0,0,0,0,0,0,0,11,12,0,0,0,0,1
22807,T_00191_50_ivy_M.jpg,1950,ivy,M,18590,1,3,2,3,2,2,2,2,2,2,3,1,2,2,2,2,2,0,0,3,4,5,0,0,0,0,10,0,0,0,0,0,16,2
228104,T_00191_50_ivy_M.jpg,1950,ivy,M,67700,1,2,2,2,3,2,1,2,2,2,3,1,5,1,2,2,2,0,0,0,0,5,0,0,8,0,0,0,12,0,0,0,0,2
212834,T_00191_50_ivy_M.jpg,1950,ivy,M,67053,1,3,2,2,4,2,1,2,2,2,3,1,1,2,2,2,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2
53136,T_00191_50_ivy_M.jpg,1950,ivy,M,29896,1,1,1,5,5,2,2,2,2,2,1,1,5,2,2,2,2,0,0,0,0,0,0,0,8,0,0,0,12,0,0,0,0,1
